1919,The Delicious Little Devil,york
1919,Don't Change Your Husband,appearance gets cigar
1919,The Echo of Youth,abramson
1919,The Exquisite Thief,chesterton
1919,The False Faces,intelligence
1919,"For Better, For Worse",duty
1919,From Hand to Mouth,lawyer
1919,The Girl Who Stayed at Home,war
1919,The Grim Game,film
1919,A Gun Fightin' Gentleman,merritt
1919,Happy Though Married,montjoy
1919,The Haunted Bedroom,man
1919,Hawthorne of the U.S.A.,hawthorne
1919,Heart o' the Hills,hawn
1919,"His Majesty, the American",country
1919,The Homesteader,baptiste
1919,The Law of Men,poison
1919,Love's Prisoner,repair
1919,Male and Female,crichton
1919,A Man's Fight,miner
1932,The Miracle Man,doc
1919,The Miracle of Love,cheshire
1919,My Lady's Garter,gaunt
1919,Pistols for Breakfast,man
1919,The Probation Wife,mcmerton
1919,Ravished Armenia,york
1919,The Roaring Road,race
1919,A Rogue's Romance,market
1919,A Romance of Happy Valley,bank
1983,Sahara,jaffar
1919,Scarlet Days,lawless
1919,A Society Exile,bissett
1919,Soldiers of Fortune,america
1919,Sunnyside,bridge
1919,The Test of Honor,woman
1919,True Heart Susie,wife
1919,The Turn in the Road,daughter
1919,The Unpainted Woman,gudrun
1919,The Virtuous Thief,baker
1919,What Every Woman Learns,plot summary
1919,When the Clouds Roll By,lucette
1919,The White Heather,admirer
1919,The World and Its Woman,leader
1919,Yankee Doodle in Berlin,command
1920,813,lupin
1921,Among Those Present,society
1920,April Folly,story
1920,Blind Youth,monnier
1920,A Child for Sale,village
1920,Convict 13,execution
1920,The Copperhead,war
1920,The Devil's Pass Key,malot
1920,A Double-Dyed Deceiver,kid
1920,The False Road,gang
1920,The Family Honor,thinking
1920,The Garage,oil
1920,The Girl in Number 29,york
1920,Hairpins,livingston
1920,Haunted Spooks,uncle
1920,Her Husband's Friend,princeton
1920,High and Dizzy,woman
1920,Huckleberry Finn,huck
1920,The Idol Dancer,beachcomber
1920,In the Heart of a Fool,nesbit
1920,The Jack-Knife Man,potter
1920,Judy of Rogue's Harbor,man
1920,Lady Rose's Daughter,lady
1992,The Last of the Mohicans,hawkeye
1920,Love,car
